Albert Pujols,DH,31.8,R,R,STL,LAA,10,"$240,000,000","$24,000,000",,,,,,,,,,,
Prince Fielder,DH,27.7,L,R,MIL,DET,9,"$214,000,000","$23,777,778",,,,,,,,,,,
Jose Reyes,SS,28.4,S,R,NYM,MIA,6,"$106,000,000","$17,666,667",,,,,,,,,,,
C.J. Wilson,SP,31.0,L,L,TEX,LAA,5,"$77,500,000","$15,500,000",,,,,,,,,,,
Mark Buehrle,SP,32.7,L,L,CHW,MIA,4,"$58,000,000","$14,500,000",,,,,,,,,,,
Jonathan Papelbon,RP,30.9,R,R,BOS,PHI,4,"$50,000,000","$12,500,000",,,,,,,,,,,
Aramis Ramirez,3B,33.4,R,R,CHC,MIL,3,"$36,000,000","$12,000,000",,,,,,,,,,,
Michael Cuddyer,LF,32.7,R,R,MIN,COL,3,"$31,500,000","$10,500,000",,,,,,,,,,,
Heath Bell,RP,34.2,,,SD,MIA,3,"$27,000,000","$9,000,000",,,,,,,,,,,
Carlos Beltran,DH,34.6,S,R,SF,STL,2,"$26,000,000","$13,000,000",,,,,,,,,,,
Josh Willingham,LF,32.8,,,OAK,MIN,3,"$21,000,000","$7,000,000",,,,,,,,,,,
Coco Crisp,CF,32.2,B,R,OAK,OAK,2,"$14,000,000","$7,000,000",,,,,,,,,,,
Rafael Furcal,SS,34.1,B,R,STL,STL,2,"$14,000,000","$7,000,000",,,,,,,,,,,
Aaron Harang,SP,33.5,R,R,SD,LAD,2,"$12,000,000","$6,000,000",,,,,,,,,,,
Frank Francisco,RP,32.2,,,TOR,NYM,2,"$12,000,000","$6,000,000",,,,,,,,,,,
Edwin Jackson,SP,28.3,R,R,STL,WSH,1,"$11,000,000","$11,000,000",,,,,,,,,,,
Aaron Hill,3B,29.6,R,R,ARI,ARI,2,"$11,000,000","$5,500,000",,,,,,,,,,,
Clint Barmes,SS,32.7,R,R,HOU,PIT,2,"$10,500,000","$5,250,000",,,,,,,,,,,
Chris Capuano,RP,33.2,L,L,NYM,LAD,2,"$10,000,000","$5,000,000",,,,,,,,,,,
David DeJesus,LF,31.9,L,L,OAK,CHC,2,"$10,000,000","$5,000,000",,,,,,,,,,,
Mark Ellis,2B,34.4,,,COL,LAD,2,"$8,750,000","$4,375,000",,,,,,,,,,,
Omar Infante,2B,29.8,R,R,MIA,MIA,2,"$8,000,000","$4,000,000",,,,,,,,,,,
Carlos Pena,1B,33.7,,,CHC,TB,1,"$7,250,000","$7,250,000",,,,,,,,,,,
Jamey Carroll,2B,37.7,,,LAD,MIN,2,"$6,500,000","$3,250,000",,,,,,,,,,,
Ramon Hernandez,C,35.5,,,CIN,COL,2,"$6,400,000","$3,200,000",,,,,,,,,,,
