Robinson Cano,2B,31.1,L,R,NYY,SEA,10,"$240,000,000","$24,000,000"
Jacoby Ellsbury,CF,30.2,L,L,BOS,NYY,7,"$153,000,000","$21,857,143"
Shin-Soo Choo,DH,31.4,L,L,CIN,TEX,7,"$130,000,000","$18,571,429"
Brian McCann,C,29.8,L,R,ATL,NYY,5,"$85,000,000","$17,000,000"
Curtis Granderson,LF,32.7,L,R,NYY,NYM,4,"$60,000,000","$15,000,000"
Jhonny Peralta,3B,31.4,R,R,DET,STL,4,"$53,000,000","$13,250,000"
Matt Garza,SP,30.2,R,R,TEX,MIL,4,"$50,000,000","$12,500,000"
Ricky Nolasco,SP,30.9,R,R,LAD,MIN,4,"$49,000,000","$12,250,000"
Carlos Beltran,DH,36.6,S,R,STL,NYY,3,"$45,000,000","$15,000,000"
Mike Napoli,1B,32.1,R,R,BOS,BOS,2,"$32,000,000","$16,000,000"
Jason Vargas,SP,30.8,L,L,LAA,KC,4,"$32,000,000","$8,000,000"
Omar Infante,2B,31.9,R,R,DET,KC,4,"$30,250,000","$7,562,500"
Scott Feldman,SP,30.8,L,R,BAL,HOU,3,"$30,000,000","$10,000,000"
Carlos Ruiz,C,34.8,R,R,PHI,PHI,3,"$26,000,000","$8,666,667"
Phil Hughes,RP,27.4,R,R,NYY,MIN,3,"$24,000,000","$8,000,000"
Bronson Arroyo,SP,36.9,R,R,CIN,ARI,2,"$23,500,000","$11,750,000"
Tim Hudson,SP,38.3,R,R,ATL,SF,2,"$23,000,000","$11,500,000"
Scott Kazmir,SP,29.8,L,L,CLE,OAK,2,"$22,000,000","$11,000,000"
James Loney,1B,29.6,L,L,TB,TB,3,"$21,000,000","$7,000,000"
Jarrod Saltalamacchia,C,28.8,S,R,BOS,MIA,3,"$21,000,000","$7,000,000"
Bartolo Colon,SP,40.5,R,R,OAK,NYM,2,"$20,000,000","$10,000,000"
Joe Nathan,RP,39.0,R,R,TEX,DET,2,"$20,000,000","$10,000,000"
Brian Wilson,RP,31.7,,,LAD,LAD,2,"$19,000,000","$9,500,000"
Boone Logan,RP,29.3,R,L,NYY,COL,3,"$16,500,000","$5,500,000"
A.J. Burnett,SP,37.1,R,R,PIT,PHI,1,"$16,000,000","$16,000,000"
Hiroki Kuroda,SP,38.8,,,NYY,NYY,1,"$16,000,000","$16,000,000"
Marlon Byrd,LF,36.2,R,R,PIT,PHI,2,"$16,000,000","$8,000,000"
Joe Smith,RP,29.7,R,R,CLE,LAA,3,"$15,750,000","$5,250,000"
Joaquin Benoit,RP,36.4,R,R,DET,SD,2,"$15,500,000","$7,750,000"
Juan Uribe,3B,34.7,R,R,LAD,LAD,2,"$15,000,000","$7,500,000"
Ervin Santana,SP,31.2,R,R,KC,ATL,1,"$14,100,000","$14,100,000"
Fernando Rodney,RP,36.8,R,R,TB,SEA,2,"$14,000,000","$7,000,000"
Javier Lopez,RP,36.3,L,L,SF,SF,3,"$13,000,000","$4,333,333"
Justin Morneau,1B,32.5,L,R,PIT,COL,2,"$12,500,000","$6,250,000"
David Murphy,DH,32.1,L,L,TEX,CLE,2,"$12,000,000","$6,000,000"
J.P. Howell,RP,30.6,L,L,LAD,LAD,2,"$11,250,000","$5,625,000"
Mike Pelfrey,RP,29.9,R,R,MIN,MIN,2,"$11,000,000","$5,500,000"
Nate McLouth,LF,32.1,L,R,BAL,WSH,2,"$10,750,000","$5,375,000"
Brad Ziegler,RP,34.2,R,R,ARI,ARI,2,"$10,500,000","$5,250,000"
Stephen Drew,2B,31.2,L,R,BOS,BOS,1,"$10,093,443","$10,093,443"
Rajai Davis,CF,33.1,R,R,TOR,DET,2,"$10,000,000","$5,000,000"
Dan Haren,SP,33.2,R,R,WSH,LAD,1,"$10,000,000","$10,000,000"
Edward Mujica,RP,29.5,R,R,STL,BOS,2,"$9,500,000","$4,750,000"
Johan Santana,SP,34.9,L,L,NYM,BAL,1,"$8,050,000","$8,050,000"
Nelson Cruz,DH,33.6,R,R,TEX,BAL,1,"$8,000,000","$8,000,000"
Dioner Navarro,C,29.8,S,R,CHC,TOR,2,"$8,000,000","$4,000,000"
Josh Johnson,SP,29.8,L,R,TOR,SD,1,"$8,000,000","$8,000,000"
Garrett Jones,RF,32.4,L,L,PIT,MIA,2,"$7,750,000","$3,875,000"
Kendrys Morales,DH,30.9,S,R,SEA,MIN,1,"$7,540,983","$7,540,983"
Chris Young,RF,30.2,R,R,OAK,NYM,1,"$7,250,000","$7,250,000"
